id,name,alias,type,status,relationship,geometry
SavannahProvince,Savannah Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.84899463199997 -15.531994662512565, 143.47020460299996 -12.836065343590771))"
SilverSpurSubprovince,Silver Spur Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.41162488700004 -3360530.157161613, 16850510.889655534 -28.80662928720278))"
SilverwoodProvince,Silverwood Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.941785064 -28.527958260207715, 152.185973246 -28.276117344212235))"
SouthDAguilarSubprovince,South D'Aguilar Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.54463956100008 -27.555866276225558, 153.156971613 -26.981421293236476))"
SouthNicholsonBasin,South Nicholson Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99530000000007 -18.833598219422868, 138.556533641 -17.778700741450766))"
StoodleighSubprovince,Stoodleigh Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.70284533799997 -2565901.7108128592, 16703912.37293423 -22.40667499233443))"
StyxBasin,Styx Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.537155525 -2566337.603297379, 16667325.558392592 -22.297024085337004))"
SuratBasin,Surat Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((146.689525397 -28.998999999199434, 151.42222689899995 -24.711061025282802))"
TarongBasin,Tarong Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.81160195600003 -27.027827461235624, 151.97459503500002 -26.65518816224287))"
TexasSubprovince,Texas Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.99674043799996 -29.178490329196265, 152.074913469 -27.93914071721839))"
ThomsonOrogen,Thomson Orogen,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.9983 -2204483.256083215, 16350864.250068484 -18.783460869424157))"
WarburtonBasin,Warburton Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.9983 -28.960797427200045, 143.54927777299997 -24.29449283929177))"
WarrabinTrough,Warrabin Trough,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.59217451100005 -2779605.1600978863, 15998589.460477019 -24.126574143295507))"
WesternSubprovince,Western Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((138.369406638 -2033902.1711317198, 15418347.84262357 -18.092924678442394))"
WhitsundayProvince,Whitsunday Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((148.44174043199996 -2335160.0941653224, 16598145.220488269 -20.061633193391394))"
YaringaSubprovince,Yaringa Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.03702107599997 -22.11392913834129, 139.40886681400002 -20.79347179237313))"
YarramanSubprovince,Yarraman Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.140757567 -27.437689619227807, 152.33167780099993 -26.01358220725568))"
AuburnSubprovince,Auburn Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.01641689400003 -26.070166308254553, 151.10030673000006 -23.762619344303516))"
AwoongaSubprovince,Awoonga Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.14050422499997 -24.261566344292525, 151.333964819 -23.881427799300855))"
BeenleighSubprovince,Beenleigh Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.677294512 -3240273.3920767605, 17092707.7213762 -27.459484110227358))"
BerserkerSubprovince,Berserker Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.34094557799995 -23.504141911309308, 150.82622878400002 -23.005043710320578))"
CamelCreekSubprovince,Camel Creek Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.83515774700004 -19.582016267403556, 146.183641363 -18.07901700344271))"
CampwynSubprovince,Campwyn Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((148.401701516 -2577960.381939677, 16682506.51706164 -20.061633193391394))"
